355,FINCH STATION,YU,MUIR,Injured or ill Customer (On Train) - Medical Aid Refused
356,WOODBINE STATION,BD,EUNT,Equipment - No Trouble Found
357,BAYVIEW STATION,SHP,MUSC,Miscellaneous Speed Control
358,MUSEUM STATION,YU,SUAP,Assault / Patron Involved
359,LAWRENCE STATION,YU,PUSNT,Signal Problem - No Trouble
360,JANE STATION,BD,MUSC,Miscellaneous Speed Control
361,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
362,KIPLING STATION,BD,MUTO,Misc. Transportation Other - Employee Non-Chargeable
363,KENNEDY SRT STATION,SRT,MRTO,Timeout
364,MCCOWAN STATION,SRT,ERWA,Warning Alarm Systems
365,VAUGHAN MC STATION,YU,TUNIP,Operator Not In Position
366,BAYVIEW STATION,SHP,MUSC,Miscellaneous Speed Control
367,ST CLAIR WEST STATION,YU,SUO,Passenger Other
368,ST PATRICK STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
369,HIGH PARK STATION,BD,PUSI,Signals or Related Components Failure 
370,HIGH PARK STATION,BD,PUSI,Signals or Related Components Failure 
371,YORK MILLS STATION,YU,SUDP,Disorderly Patron
372,KEELE STATION TO KIPLI,BD,TUS,Crew Unable to Maintain Schedule
373,KENNEDY BD STATION,BD,MUNOA,No Operator Immediately Available - Not E.S.A. Related 
374,OLD MILL STATION,BD,TUO,Transportation Department - Other
375,GLENCAIRN STATION,YU,SUDP,Disorderly Patron
376,DUNDAS WEST STATION,BD,SUDP,Disorderly Patron
377,ISLINGTON STATION,BD,MUIS,Injured or ill Customer (In Station) - Transported
378,PIONEER VILLAGE STATIO,YU,SUDP,Disorderly Patron
379,COLLEGE STATION,YU,PUSNT,Signal Problem - No Trouble
380,FINCH STATION,YU,MUDD,Door Problems - Debris Related
381,BAY STATION,BD,SUPOL,Held By Polce - Non-TTC Related
382,YORK MILLS STATION,YU,TUSC,Operator Overspeeding
383,VAUGHAN MC STATION,YU,MUO,Miscellaneous Other
384,SHEPPARD STATION,YU,MUSC,Miscellaneous Speed Control
385,CASTLE FRANK STATION,BD,SUO,Passenger Other
386,VAUGHAN MC STATION,YU,TUO,Transportation Department - Other
387,EGLINTON WEST STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
388,WARDEN STATION,BD,SUUT,Unauthorized at Track Level
389,PAPE STATION,BD,TUO,Transportation Department - Other
390,DON MILLS STATION,SHP,TUMVS,Operator Violated Signal
391,DON MILLS STATION,SHP,PUCSC,Signal Control Problem - Signals
392,VAUGHAN MC STATION,YU,EUDO,Door Problems - Faulty Equipment
393,SPADINA YUS STATION,YU,SUDP,Disorderly Patron
394,SPADINA BD STATION,BD,SUDP,Disorderly Patron
395,ROSEDALE STATION,YU,SUDP,Disorderly Patron
396,VAUGHAN MC STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
397,ELLESMERE STATION,SRT,ERTC,Train Control - VOBC
398,MCCOWAN STATION,SRT,MRO,Miscellaneous Other
399,UNION STATION TO KING,YU,SUDP,Disorderly Patron
400,MCCOWAN STATION,SRT,MRTO,Timeout
401,ISLINGTON STATION,BD,MUDD,Door Problems - Debris Related
402,EGLINTON WEST STATION,YU,MUD,Door Problems - Passenger Related
403,SCARBOROUGH RAPID TRAN,SRT,MRWEA,Weather Reports / Related Delays
404,SHEPPARD-YONGE STATION,SHP,MUNOA,No Operator Immediately Available - Not E.S.A. Related 
405,WELLESLEY STATION,YU,SUO,Passenger Other
406,GREENWOOD YARD,BD,SUG,Graffiti / Scratchiti
407,BROADVIEW STATION,BD,SUDP,Disorderly Patron
408,ST GEORGE BD STATION,BD,SUDP,Disorderly Patron
409,SHEPPARD-YONGE STATION,SHP,TUO,Transportation Department - Other
410,LAWRENCE STATION,YU,PUSTC,Signals - Track Circuit Problems
411,LAWRENCE STATION,YU,PUSRA,Subway Radio System Fault 
