3360,oakwood and vaughan,90,Late Leaving Garage - Mechanical
3361,Lawrence Station,124,Utilized Off Route
3362,Woodbine station,91,Mechanical
3363,Finch Station,39,Mechanical
3364,Ian MacDonald & Founders,41,Investigation
3365,Finch Station,36,Mechanical
3366,Eglinton Station,54,Utilized Off Route
3367,Don Mills station,25,Mechanical
3368,eglinton station,32,Mechanical
3369,Davisville Station,11,Utilized Off Route
3370,Main station,23,Mechanical
3371,Neilson and Oakmeadow,133,Mechanical
3372,Ossington Station,161,Mechanical
3373,Neilson and Sheppard West,85,Mechanical
3374,on Finch Ave West at Tangiers Rd,36,Mechanical
3375,Peckham Ave and Cactus Ave,98,Mechanical
3376,York Mills Station,95,Mechanical
3377,Victoria Park stn,67,Mechanical
3378,Lawrence RT station,54,Utilized Off Route
3379,Bayview at Broadway,11,Mechanical
3380,Lawrence West Station,600,Utilized Off Route
3381,Main station,113,Investigation
3382,Steeles Ave West Loop at Martin Grove,60,Mechanical
3383,Davisville Station,600,Utilized Off Route
3384,Jane and Falstaff,600,Investigation
3385,Morningside and Old Finch,133,Utilized Off Route
3386,Kingston Rd and Pine Ridge Drive,600,Investigation
3387,Keel & Wilson,41,Investigation
3388,keele and wilson,41,Investigation
3389,Sheppard and Shorting,85,Investigation
3390,Coxwell station,22,Mechanical
3391,Between Jane/Eglinton and Weston/Eglinton,32,Diversion
3392,Pine and Wright,32,Mechanical
3393,Christie Station,126,Investigation
3394,Dufferin and Hope St,29,Emergency Services
3395,Keele and Calvington,41,Diversion
3396,Finch Station,320,Mechanical
3397,East Ave / Lawrence,354,Investigation
3398,Wellington and Yonge Street,320,Mechanical
3399,Old mill station,66,Late Leaving Garage - Mechanical
3400,Sentinel and Stilecroft,106,Mechanical
3401,Ossington Station,63,Mechanical
3402,FINCH STATION,60,Emergency Services
3403,Windermere and Dundas,40,Investigation
3404,Dundas and Runnymede,40,Utilized Off Route
3405,Kipling Station,80,Mechanical
3406,FINCH STATION,60,Mechanical
3407,warden Station,16,Late Leaving Garage - Mechanical
3408,Pricess Gate and newfoundland Blvd,29,Emergency Services
3409,Sheppard West Station,105,Late Leaving Garage - Management
3410,Ossington Station,94,Late Leaving Garage - Mechanical
3411,PIONEER VILLAGE STATION,60,Vision
3412,Sheppard,17,Mechanical
3413,FINCH WEST STATION,36,Late Leaving Garage - Mechanical
3414,Hight Park station,80,Mechanical
