2456,Dundas and Broadview,505,Mechanical
2457,Lakeshore West and Mimico,301,Investigation
2458,Queen/Connaught,501,Mechanical
2459,Fleet Street and Strachan Avenue,511,Investigation
2460,Fleet Street and Strachan Avenue,8,Held By
2461,Broadview Station,505,Late Leaving Garage
2462,Dundas and Lansdowne,505,Mechanical
2463,Spadina and Queensquay,510,Mechanical
2464,Queen/Jarvis,501,Investigation
2465,Bathurst and Fleet Street,509,Mechanical
2466,Queen & Dovercourt,501,Emergency Services
2467,Dundas and Parliament,505,Mechanical
2468,Humber Loop,501,Emergency Services
2469,High Park,506,Mechanical
2470,Broadview Station,505,Mechanical
2471,Queen & Yonge,501,Held By
2472,CNE Loop,511,Utilized Off Route
2473,Distillery Loop,504,Mechanical
2474,Dundas and Broadview,505,Mechanical
2475,Longbranch loop,501,Mechanical
2476,King and Dowling,504,Mechanical
2477,Queen/Roncesvalles,304,Emergency Services
2478,Queen and Connaught,501,Late Leaving Garage
2479,King/Peter,504,Investigation
2480,Queen/Simcoe,501,Mechanical
2481,St clair/Christie,512,Investigation
2482,Neville Loop,501,Mechanical
2483,Humber Loop,501,Mechanical
2484,Humber Loop,501,Mechanical
2485,Braodview Station,505,Mechanical
2486,Dundas Broadview,505,Mechanical
2487,Roncesvalles Yard,504,Late Leaving Garage
2488,Woodbine and,506,Mechanical
2489,Spadina Station,510,Mechanical
2490,Queen and Ossington,501,Mechanical
2491,Neville Park,501,Mechanical
2492,CNE,509,Mechanical
2493,Dundas West STN,505,Mechanical
2494,Humber Loop,501,Investigation
2495,Bathurst Station,511,Mechanical
2496,Broadview STNB,505,Mechanical
2497,Humber Loop,501,Mechanical
2498,St Clair and Lansdowne,512,Mechanical
2499,Dundas and Grace,505,Held By
2500,Exiting Humber Loop,301,Held By
2501,Kingston Rd,501,Mechanical
2502,Roncy and King,504,Mechanical
2503,Humber Loop,501,Mechanical
2504,College Spadina,506,Overhead - Pantograph
2505,King and Yonge,504,Mechanical
2506,Bathurst Station,511,Utilized Off Route
2507,Parklawn and Lakeshore,501,Mechanical
2508,Dundas and Lansdown,505,Emergency Services
2509,CNE Loop,511,Utilized Off Route
2510,CNE Loop,511,Utilized Off Route
2511,Queen and Sherborne,501,Mechanical
2512,Dundas West STN,505,Mechanical
2513,Long Branch Loop,501,Investigation
2514,Dundas and Parliament,505,Emergency Services
2515,W/B trailer Track Russell Yard,301,Investigation
2516,W/B Trailer Track Russell Yard,501,Investigation
2517,Upper Gerrard and Coxwell,506,Held By
2518,Dundas and Sumach,505,Overhead - Pantograph
2519,Dundas and Sackville,505,Investigation
2520,Gerrard and Parliament,506,Mechanical
2521,Gerrard and Parliament,506,Mechanical
2522,Gerrard and Parliament,506,Mechanical
2523,Spadina & Queensquay,510,Mechanical
2524,Bathurst and Front,509,Investigation
2525,Quen and Duffrin,501,Held By
2526,Gerrard and Jones,506,Mechanical
2527,Queen and Duffrin,501,Investigation
2528,Bathurst station,511,Mechanical
2529,Dundas and Spadina,505,Mechanical
2530,Dundas and Gladstone,505,Emergency Services
2531,Bathurst Station,512,Investigation
2532,Roncesvalles and Queen,504,Late Leaving Garage
2533,Neville Loop,501,Mechanical
2534,Long Branch Loop,501,Mechanical
2535,College Crawford,506,Investigation
2536,Queen/Roncesvalles,504,Mechanical
2537,Dundas and Sheridan,505,Investigation
2538,Harborfront Tunnel,509,Mechanical
2539,Spadina STN,510,Utilized Off Route
2540,Broadview STN,505,Mechanical
2541,Dundas West Station,306,Emergency Services
2542,Queen and Woodbine,501,Mechanical
2543,Leslie Barns,506,Late Leaving Garage
2544,Shaw and King,504,Late Leaving Garage
2545,Roncvesalles and King,504,Late Leaving Garage
2546,Spadina & Queensquay,510,Mechanical
2547,Spadina & Queensquay,510,Mechanical
2548,Spadina & Queensquay,510,Mechanical
